Incidence Rate Report for California by County

"Breast (Late Stage^), 2017-2021"

"All Races (includes Hispanic), Female, Ages <50"

Sorted by Rate

County,FIPS,2023 Rural-Urban Continuum Codes([rural urban note]),"Age-Adjusted Incidence Rate([rate note]) - cases per 100,000","Lower 95% Confidence Interval","Upper 95% Confidence Interval","CI*Rank([rank note])","Lower CI (CI*Rank)","Upper CI (CI*Rank)",Average Annual Count,Percent of Cases with Late Stage
"California(3)",06000,N/A,19.2 ,18.9, 19.6,N/A , N/A , N/A,2344,43.2
"US (SEER+NPCR)(1)",00000,N/A,19.8 ,19.7, 19.9,N/A , N/A , N/A,18811,41.9
"Yolo County(7)",06113,Urban,26 ,20.4, 32.5,1 , 1 , 29,15,51.0
"Nevada County(7)",06057,Rural,23.6 ,15.9, 33.7,2 , 1 , 41,6,45.5
"Marin County(7)",06041,Urban,23 ,18.3, 28.5,3 , 1 , 36,17,37.2
"Ventura County(7)",06111,Urban,21.5 ,19, 24.3,4 , 1 , 31,54,43.9
"Butte County(7)",06007,Urban,21.3 ,16.2, 27.5,5 , 1 , 40,12,44.3
"Imperial County(7)",06025,Urban,21.3 ,15.8, 27.9,6 , 1 , 40,10,50.0
"Santa Clara County(7)",06085,Urban,21 ,19.4, 22.6,7 , 3 , 27,132,41.7
"Santa Cruz County(7)",06087,Urban,20.9 ,16.5, 26.1,8 , 1 , 39,16,40.6
"Contra Costa County(7)",06013,Urban,20.7 ,18.7, 22.9,9 , 2 , 30,79,40.5
"San Diego County(7)",06073,Urban,20.7 ,19.5, 22,10 , 4 , 25,209,44.4
"San Luis Obispo County(7)",06079,Urban,20.7 ,16.1, 26.1,11 , 1 , 39,14,37.8
"Sacramento County(7)",06067,Urban,20.5 ,18.7, 22.3,12 , 3 , 30,101,45.2
"El Dorado County(7)",06017,Urban,20.4 ,15.3, 26.7,13 , 1 , 40,11,37.8
"Monterey County(7)",06053,Urban,20.3 ,16.9, 24.2,14 , 1 , 38,25,49.6
"Solano County(7)",06095,Urban,20.3 ,17, 24.1,15 , 1 , 37,26,48.0
"Shasta County(7)",06089,Urban,20.2 ,15, 26.6,16 , 1 , 40,10,51.0
"Lake County(7)",06033,Rural,20 ,11.6, 32,17 , 1 , 41,3,50.0
"San Francisco County(7)",06075,Urban,19.7 ,17.5, 22.2,18 , 3 , 36,58,39.2
"Alameda County(7)",06001,Urban,19.7 ,18.1, 21.4,19 , 5 , 33,113,41.8
"Merced County(7)",06047,Urban,19.7 ,15.6, 24.6,20 , 1 , 40,16,60.0
"Orange County(7)",06059,Urban,19.6 ,18.4, 20.9,21 , 7 , 31,198,40.4
"Placer County(7)",06061,Urban,19.6 ,16.2, 23.4,22 , 2 , 39,24,40.3
