FIPS,county,rural_urban,incidence_rate,avg_annual_count,percent_late_stage,median_income_$,total_pop,uninsured_pop,percent_uninsured,poverty_rate
06113,Yolo County,Urban,26.0,15.0,51.0,70228.0,215938.0,10466.0,4.846761570450777,17.5
06057,Nevada County,Rural,23.6,6.0,45.5,66096.0,,,,12.4
06041,Marin County,Urban,23.0,17.0,37.2,115246.0,255421.0,8987.0,3.518504743149545,7.5
06111,Ventura County,Urban,21.5,54.0,43.9,88131.0,840257.0,73921.0,8.79742745374332,9.9
06007,Butte County,Urban,21.3,12.0,44.3,52537.0,223229.0,13734.0,6.152426432049599,21.4
06025,Imperial County,Urban,21.3,10.0,50.0,47622.0,170981.0,13758.0,8.046508091542336,24.3
06085,Santa Clara County,Urban,21.0,132.0,41.7,124055.0,1917643.0,82404.0,4.297150199489686,8.3
06087,Santa Cruz County,Urban,20.9,16.0,40.6,82234.0,272491.0,13989.0,5.133747536615888,15.4
06013,Contra Costa County,Urban,20.7,79.0,40.5,99716.0,1137149.0,57973.0,5.0981006007128356,10.2
06073,San Diego County,Urban,20.7,209.0,44.4,78980.0,3216326.0,252036.0,7.836145962815959,13.9
06079,San Luis Obispo County,Urban,20.7,14.0,37.8,73518.0,275626.0,16673.0,6.049139050742673,14.4
06067,Sacramento County,Urban,20.5,101.0,45.2,67151.0,1510932.0,82754.0,5.477016834642459,16.9
06017,El Dorado County,Urban,20.4,11.0,37.8,83377.0,187280.0,8571.0,4.576569841947886,9.1
06053,Monterey County,Urban,20.3,25.0,49.6,71015.0,417249.0,40995.0,9.825068484286362,15.3
06095,Solano County,Urban,20.3,26.0,48.0,81472.0,429483.0,20266.0,4.71869666552576,12.0
06089,Shasta County,Urban,20.2,10.0,51.0,54667.0,177761.0,11546.0,6.495237988085125,19.0
06033,Lake County,Rural,20.0,3.0,50.0,47040.0,,,,20.5
06075,San Francisco County,Urban,19.7,58.0,39.2,112449.0,870863.0,31903.0,3.663377592112651,12.4
06001,Alameda County,Urban,19.7,113.0,41.8,99406.0,1647749.0,72076.0,4.374209906970054,11.5
06047,Merced County,Urban,19.7,16.0,60.0,53672.0,268611.0,22377.0,8.330634262930408,25.9
06059,Orange County,Urban,19.6,198.0,40.4,90234.0,3151089.0,239031.0,7.58566324213629,12.7
06061,Placer County,Urban,19.6,24.0,40.3,89691.0,382926.0,15444.0,4.033155231036806,8.6
06097,Sonoma County,Urban,19.6,28.0,40.8,81018.0,495516.0,30184.0,6.091427925637114,11.0
06083,Santa Barbara County,Urban,19.4,22.0,38.8,74624.0,437669.0,43878.0,10.025384480052278,15.6
06071,San Bernardino County,Urban,19.2,127.0,49.2,63362.0,2099054.0,176546.0,8.410741219616074,18.9
06077,San Joaquin County,Urban,19.1,44.0,48.6,64432.0,732477.0,47119.0,6.432829972818259,17.5
06023,Humboldt County,Rural,19.1,7.0,47.4,48041.0,135003.0,11094.0,8.217595164551899,20.9
06037,Los Angeles County,Urban,18.6,601.0,43.3,68044.0,10012895.0,965181.0,9.6393800194649,16.7
06055,Napa County,Urban,18.1,7.0,36.3,88596.0,137806.0,8072.0,5.857509832663309,10.1
06081,San Mateo County,Urban,18.1,46.0,34.7,122641.0,763665.0,31888.0,4.175652936824393,8.4
06099,Stanislaus County,Urban,17.8,29.0,42.4,60704.0,540181.0,30689.0,5.68124387936636,19.5
06065,Riverside County,Urban,17.1,124.0,44.7,67005.0,2389375.0,209289.0,8.75915249803819,16.2
06107,Tulare County,Urban,17.0,23.0,48.1,49687.0,457857.0,37117.0,8.106679596467893,27.2
06019,Fresno County,Urban,16.8,49.0,45.9,53969.0,973266.0,81164.0,8.339344023113927,25.2
06101,Sutter County,Urban,16.6,5.0,39.7,59050.0,94654.0,7590.0,8.018678555581381,17.5
06069,San Benito County,Urban,16.4,3.0,43.2,86958.0,,,,9.3
06029,Kern County,Urban,16.3,41.0,46.0,53350.0,859905.0,68254.0,7.937388432443119,21.9
06115,Yuba County,Urban,16.0,4.0,40.0,58054.0,,,,21.6
06031,Kings County,Urban,15.2,6.0,41.4,57848.0,133994.0,10065.0,7.51153036703136,22.4
06045,Mendocino County,Rural,15.1,4.0,44.2,51416.0,86352.0,7413.0,8.584630350194553,20.3
06039,Madera County,Urban,12.4,6.0,52.6,57585.0,147253.0,12202.0,8.286418612863574,22.6
06003,Alpine County,Rural,,,,63750.0,,,,19.0
06005,Amador County,Rural,,,,62772.0,,,,13.1
06009,Calaveras County,Rural,,,,63158.0,,,,13.0
06011,Colusa County,Rural,,,,59401.0,,,,13.2
06015,Del Norte County,Rural,,,,45283.0,,,,23.3
06021,Glenn County,Rural,,,,49633.0,,,,18.5
06027,Inyo County,Rural,,,,57316.0,,,,12.4
06035,Lassen County,Rural,,,,56352.0,,,,17.1
06043,Mariposa County,Rural,,,,48820.0,,,,15.2
06049,Modoc County,Rural,,,,45507.0,,,,20.3
06051,Mono County,Rural,,,,62260.0,,,,11.2
06063,Plumas County,Rural,,,,55359.0,,,,13.8
06091,Sierra County,Rural,,,,52148.0,,,,13.8
06093,Siskiyou County,Rural,,,,45241.0,,,,22.6
06103,Tehama County,Rural,,,,44514.0,,,,22.5
06105,Trinity County,Rural,,,,40846.0,,,,19.7
06109,Tuolumne County,Rural,,,,60108.0,,,,14.5
