FIPS,County,poverty_rate
06001,Alameda,11.5
06003,Alpine,19.0
06005,Amador,13.1
06007,Butte,21.4
06009,Calaveras,13.0
06011,Colusa,13.2
06013,Contra Costa,10.2
06015,Del Norte,23.3
06017,El Dorado,9.1
06019,Fresno,25.2
06021,Glenn,18.5
06023,Humboldt,20.9
06025,Imperial,24.3
06027,Inyo,12.4
06029,Kern,21.9
06031,Kings,22.4
06033,Lake,20.5
06035,Lassen,17.1
06037,Los Angeles,16.7
06039,Madera,22.6
06041,Marin,7.5
06043,Mariposa,15.2
06045,Mendocino,20.3
06047,Merced,25.9
06049,Modoc,20.3
06051,Mono,11.2
06053,Monterey,15.3
06055,Napa,10.1
06057,Nevada,12.4
06059,Orange,12.7
06061,Placer,8.6
06063,Plumas,13.8
06065,Riverside,16.2
06067,Sacramento,16.9
06069,San Benito,9.3
06071,San Bernardino,18.9
06073,San Diego,13.9
06075,San Francisco,12.4
06077,San Joaquin,17.5
06079,San Luis Obispo,14.4
06081,San Mateo,8.4
06083,Santa Barbara,15.6
06085,Santa Clara,8.3
06087,Santa Cruz,15.4
06089,Shasta,19.0
06091,Sierra,13.8
06093,Siskiyou,22.6
06095,Solano,12.0
06097,Sonoma,11.0
06099,Stanislaus,19.5
06101,Sutter,17.5
06103,Tehama,22.5
06105,Trinity,19.7
06107,Tulare,27.2
06109,Tuolumne,14.5
06111,Ventura,9.9
06113,Yolo,17.5
06115,Yuba,21.6
