FIPS,NAME,median_income
raphy,Geographic Area Name,
06001,Alameda,99406.0
06003,Alpine,63750.0
06005,Amador,62772.0
06007,Butte,52537.0
06009,Calaveras,63158.0
06011,Colusa,59401.0
06013,Contra Costa,99716.0
06015,Del Norte,45283.0
06017,El Dorado,83377.0
06019,Fresno,53969.0
06021,Glenn,49633.0
06023,Humboldt,48041.0
06025,Imperial,47622.0
06027,Inyo,57316.0
06029,Kern,53350.0
06031,Kings,57848.0
06033,Lake,47040.0
06035,Lassen,56352.0
06037,Los Angeles,68044.0
06039,Madera,57585.0
06041,Marin,115246.0
06043,Mariposa,48820.0
06045,Mendocino,51416.0
06047,Merced,53672.0
06049,Modoc,45507.0
06051,Mono,62260.0
06053,Monterey,71015.0
06055,Napa,88596.0
06057,Nevada,66096.0
06059,Orange,90234.0
06061,Placer,89691.0
06063,Plumas,55359.0
06065,Riverside,67005.0
06067,Sacramento,67151.0
06069,San Benito,86958.0
06071,San Bernardino,63362.0
06073,San Diego,78980.0
06075,San Francisco,112449.0
06077,San Joaquin,64432.0
06079,San Luis Obispo,73518.0
06081,San Mateo,122641.0
06083,Santa Barbara,74624.0
06085,Santa Clara,124055.0
06087,Santa Cruz,82234.0
06089,Shasta,54667.0
06091,Sierra,52148.0
06093,Siskiyou,45241.0
06095,Solano,81472.0
06097,Sonoma,81018.0
06099,Stanislaus,60704.0
06101,Sutter,59050.0
06103,Tehama,44514.0
06105,Trinity,40846.0
06107,Tulare,49687.0
06109,Tuolumne,60108.0
06111,Ventura,88131.0
06113,Yolo,70228.0
06115,Yuba,58054.0
