"GEO_ID","NAME","S1901_C01_001E","S1901_C01_001M","S1901_C01_002E","S1901_C01_002M","S1901_C01_003E","S1901_C01_003M","S1901_C01_004E","S1901_C01_004M","S1901_C01_005E","S1901_C01_005M","S1901_C01_006E","S1901_C01_006M","S1901_C01_007E","S1901_C01_007M","S1901_C01_008E","S1901_C01_008M","S1901_C01_009E","S1901_C01_009M","S1901_C01_010E","S1901_C01_010M","S1901_C01_011E","S1901_C01_011M","S1901_C01_012E","S1901_C01_012M","S1901_C01_013E","S1901_C01_013M","S1901_C01_014E","S1901_C01_014M","S1901_C01_015E","S1901_C01_015M","S1901_C01_016E","S1901_C01_016M","S1901_C02_001E","S1901_C02_001M","S1901_C02_002E","S1901_C02_002M","S1901_C02_003E","S1901_C02_003M","S1901_C02_004E","S1901_C02_004M","S1901_C02_005E","S1901_C02_005M","S1901_C02_006E","S1901_C02_006M","S1901_C02_007E","S1901_C02_007M","S1901_C02_008E","S1901_C02_008M","S1901_C02_009E","S1901_C02_009M","S1901_C02_010E","S1901_C02_010M","S1901_C02_011E","S1901_C02_011M","S1901_C02_012E","S1901_C02_012M","S1901_C02_013E","S1901_C02_013M","S1901_C02_014E","S1901_C02_014M","S1901_C02_015E","S1901_C02_015M","S1901_C02_016E","S1901_C02_016M","S1901_C03_001E","S1901_C03_001M","S1901_C03_002E","S1901_C03_002M","S1901_C03_003E","S1901_C03_003M","S1901_C03_004E","S1901_C03_004M","S1901_C03_005E","S1901_C03_005M","S1901_C03_006E","S1901_C03_006M","S1901_C03_007E","S1901_C03_007M","S1901_C03_008E","S1901_C03_008M","S1901_C03_009E","S1901_C03_009M","S1901_C03_010E","S1901_C03_010M","S1901_C03_011E","S1901_C03_011M","S1901_C03_012E","S1901_C03_012M","S1901_C03_013E","S1901_C03_013M","S1901_C03_014E","S1901_C03_014M","S1901_C03_015E","S1901_C03_015M","S1901_C03_016E","S1901_C03_016M","S1901_C04_001E","S1901_C04_001M","S1901_C04_002E","S1901_C04_002M","S1901_C04_003E","S1901_C04_003M","S1901_C04_004E","S1901_C04_004M","S1901_C04_005E","S1901_C04_005M","S1901_C04_006E","S1901_C04_006M","S1901_C04_007E","S1901_C04_007M","S1901_C04_008E","S1901_C04_008M","S1901_C04_009E","S1901_C04_009M","S1901_C04_010E","S1901_C04_010M","S1901_C04_011E","S1901_C04_011M","S1901_C04_012E","S1901_C04_012M","S1901_C04_013E","S1901_C04_013M","S1901_C04_014E","S1901_C04_014M","S1901_C04_015E","S1901_C04_015M","S1901_C04_016E","S1901_C04_016M",
"Geography","Geographic Area Name","Estimate!!Households!!Total","Margin of Error!!Households!!Total","Estimate!!Households!!Total!!Less than $10,000","Margin of Error!!Households!!Total!!Less than $10,000","Estimate!!Households!!Total!!$10,000 to $14,999","Margin of Error!!Households!!Total!!$10,000 to $14,999","Estimate!!Households!!Total!!$15,000 to $24,999","Margin of Error!!Households!!Total!!$15,000 to $24,999","Estimate!!Households!!Total!!$25,000 to $34,999","Margin of Error!!Households!!Total!!$25,000 to $34,999","Estimate!!Households!!Total!!$35,000 to $49,999","Margin of Error!!Households!!Total!!$35,000 to $49,999","Estimate!!Households!!Total!!$50,000 to $74,999","Margin of Error!!Households!!Total!!$50,000 to $74,999","Estimate!!Households!!Total!!$75,000 to $99,999","Margin of Error!!Households!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Margin of Error!!Households!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Margin of Error!!Households!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more","Margin of Error!!Households!!Total!!$200,000 or more","Estimate!!Households!!Median income (dollars)","Margin of Error!!Households!!Median income (dollars)","Estimate!!Households!!Mean income (dollars)","Margin of Error!!Households!!Mean income (dollars)","Estimate!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Families!!Total","Margin of Error!!Families!!Total","Estimate!!Families!!Total!!Less than $10,000","Margin of Error!!Families!!Total!!Less than $10,000","Estimate!!Families!!Total!!$10,000 to $14,999","Margin of Error!!Families!!Total!!$10,000 to $14,999","Estimate!!Families!!Total!!$15,000 to $24,999","Margin of Error!!Families!!Total!!$15,000 to $24,999","Estimate!!Families!!Total!!$25,000 to $34,999","Margin of Error!!Families!!Total!!$25,000 to $34,999","Estimate!!Families!!Total!!$35,000 to $49,999","Margin of Error!!Families!!Total!!$35,000 to $49,999","Estimate!!Families!!Total!!$50,000 to $74,999","Margin of Error!!Families!!Total!!$50,000 to $74,999","Estimate!!Families!!Total!!$75,000 to $99,999","Margin of Error!!Families!!Total!!$75,000 to $99,999","Estimate!!Families!!Total!!$100,000 to $149,999","Margin of Error!!Families!!Total!!$100,000 to $149,999","Estimate!!Families!!Total!!$150,000 to $199,999","Margin of Error!!Families!!Total!!$150,000 to $199,999","Estimate!!Families!!Total!!$200,000 or more","Margin of Error!!Families!!Total!!$200,000 or more","Estimate!!Families!!Median income (dollars)","Margin of Error!!Families!!Median income (dollars)","Estimate!!Families!!Mean income (dollars)","Margin of Error!!Families!!Mean income (dollars)","Estimate!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Married-couple families!!Total","Margin of Error!!Married-couple families!!Total","Estimate!!Married-couple families!!Total!!Less than $10,000","Margin of Error!!Married-couple families!!Total!!Less than $10,000","Estimate!!Married-couple families!!Total!!$10,000 to $14,999","Margin of Error!!Married-couple families!!Total!!$10,000 to $14,999","Estimate!!Married-couple families!!Total!!$15,000 to $24,999","Margin of Error!!Married-couple families!!Total!!$15,000 to $24,999","Estimate!!Married-couple families!!Total!!$25,000 to $34,999","Margin of Error!!Married-couple families!!Total!!$25,000 to $34,999","Estimate!!Married-couple families!!Total!!$35,000 to $49,999","Margin of Error!!Married-couple families!!Total!!$35,000 to $49,999","Estimate!!Married-couple families!!Total!!$50,000 to $74,999","Margin of Error!!Married-couple families!!Total!!$50,000 to $74,999","Estimate!!Married-couple families!!Total!!$75,000 to $99,999","Margin of Error!!Married-couple families!!Total!!$75,000 to $99,999","Estimate!!Married-couple families!!Total!!$100,000 to $149,999","Margin of Error!!Married-couple families!!Total!!$100,000 to $149,999","Estimate!!Married-couple families!!Total!!$150,000 to $199,999","Margin of Error!!Married-couple families!!Total!!$150,000 to $199,999","Estimate!!Married-couple families!!Total!!$200,000 or more","Margin of Error!!Married-couple families!!Total!!$200,000 or more","Estimate!!Married-couple families!!Median income (dollars)","Margin of Error!!Married-couple families!!Median income (dollars)","Estimate!!Married-couple families!!Mean income (dollars)","Margin of Error!!Married-couple families!!Mean income (dollars)","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Nonfamily households!!Total","Margin of Error!!Nonfamily households!!Total","Estimate!!Nonfamily households!!Total!!Less than $10,000","Margin of Error!!Nonfamily households!!Total!!Less than $10,000","Estimate!!Nonfamily households!!Total!!$10,000 to $14,999","Margin of Error!!Nonfamily households!!Total!!$10,000 to $14,999","Estimate!!Nonfamily households!!Total!!$15,000 to $24,999","Margin of Error!!Nonfamily households!!Total!!$15,000 to $24,999","Estimate!!Nonfamily households!!Total!!$25,000 to $34,999","Margin of Error!!Nonfamily households!!Total!!$25,000 to $34,999","Estimate!!Nonfamily households!!Total!!$35,000 to $49,999","Margin of Error!!Nonfamily households!!Total!!$35,000 to $49,999","Estimate!!Nonfamily households!!Total!!$50,000 to $74,999","Margin of Error!!Nonfamily households!!Total!!$50,000 to $74,999","Estimate!!Nonfamily households!!Total!!$75,000 to $99,999","Margin of Error!!Nonfamily households!!Total!!$75,000 to $99,999","Estimate!!Nonfamily households!!Total!!$100,000 to $149,999","Margin of Error!!Nonfamily households!!Total!!$100,000 to $149,999","Estimate!!Nonfamily households!!Total!!$150,000 to $199,999","Margin of Error!!Nonfamily households!!Total!!$150,000 to $199,999","Estimate!!Nonfamily households!!Total!!$200,000 or more","Margin of Error!!Nonfamily households!!Total!!$200,000 or more","Estimate!!Nonfamily households!!Median income (dollars)","Margin of Error!!Nonfamily households!!Median income (dollars)","Estimate!!Nonfamily households!!Mean income (dollars)","Margin of Error!!Nonfamily households!!Mean income (dollars)","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months",
"0500000US06001","Alameda County, California","577177","1744","4.1","0.2","3.5","0.2","5.5","0.2","5.5","0.2","7.7","0.2","12.5","0.3","11.5","0.3","18.1","0.3","12.3","0.3","19.4","0.3","99406","921","130710","917","30.4","(X)","(X)","(X)","(X)","(X)","384676","2576","2.4","0.2","1.6","0.1","3.9","0.2","4.4","0.2","6.8","0.3","11.6","0.3","11.3","0.4","19.4","0.4","14.3","0.4","24.4","0.4","119612","939","150481","1282","(X)","(X)","31.0","(X)","(X)","(X)","292079","2496","1.1","0.1","0.9","0.1","2.5","0.2","3.2","0.2","5.2","0.3","9.6","0.4","10.6","0.4","20.3","0.5","16.5","0.5","30.1","0.5","140508","1196","171406","1474","(X)","(X)","(X)","(X)","(X)","(X)","192501","2492","8.1","0.4","7.6","0.4","9.1","0.5","8.5","0.4","10.0","0.5","14.9","0.4","11.7","0.5","15.0","0.5","7.3","0.4","7.8","0.4","59919","1455","84111","1316","(X)","(X)","(X)","(X)","27.5","(X)",
"0500000US06003","Alpine County, California","350","69","3.1","2.1","5.4","4.5","6.9","3.7","13.4","7.0","9.4","4.0","17.4","6.5","8.6","5.6","21.7","8.4","5.1","3.6","8.9","5.0","63750","17778","97724","18090","31.1","(X)","(X)","(X)","(X)","(X)","231","49","1.7","1.8","2.2","2.1","6.9","4.1","7.4","6.9","7.8","4.3","15.2","7.2","13.0","8.4","31.6","11.6","3.9","4.8","10.4","6.5","94792","20094","111339","20039","(X)","(X)","33.3","(X)","(X)","(X)","194","47","0.0","16.4","1.0","1.7","4.6","3.7","5.7","7.8","2.6","3.3","17.0","8.2","14.4","9.8","37.6","13.2","4.6","5.7","12.4","7.8","108750","14823","N","N","(X)","(X)","(X)","(X)","(X)","(X)","119","44","5.9","5.3","13.4","12.5","6.7","7.5","26.1","15.9","10.9","8.8","21.8","16.3","0.0","25.1","1.7","4.3","7.6","7.8","5.9","6.5","32202","18933","70112","34565","(X)","(X)","(X)","(X)","26.1","(X)",
"0500000US06005","Amador County, California","14594","448","4.5","1.2","4.1","1.2","9.3","1.7","10.3","1.9","11.3","2.3","19.6","2.4","14.2","2.0","15.7","2.1","5.7","1.3","5.2","1.3","62772","2756","81659","5235","36.0","(X)","(X)","(X)","(X)","(X)","9872","475","3.5","1.5","0.7","0.5","4.2","1.5","7.3","2.1","10.7","2.8","21.8","3.0","16.4","2.7","21.1","3.1","7.5","2.0","6.7","1.7","77876","5255","96402","6916","(X)","(X)","35.6","(X)","(X)","(X)","7954","496","1.5","0.9","0.2","0.2","3.2","1.3","4.5","1.5","10.7","3.0","22.4","3.5","17.1","3.0","23.8","3.5","8.5","2.3","8.2","2.0","84427","7359","N","N","(X)","(X)","(X)","(X)","(X)","(X)","4722","396","8.5","2.4","11.2","3.2","19.9","4.3","18.4","4.0","14.1","3.9","14.4","3.4","6.9","2.9","3.4","1.3","1.8","0.8","1.5","1.1","29659","2767","45940","5783","(X)","(X)","(X)","(X)","35.2","(X)",
"0500000US06007","Butte County, California","85320","891","7.0","0.7","6.6","0.6","11.3","0.8","10.2","0.7","13.0","0.8","16.9","0.8","11.4","0.8","12.9","0.8","5.1","0.5","5.6","0.6","52537","1618","75746","2077","35.3","(X)","(X)","(X)","(X)","(X)","51447","868","3.7","0.7","2.6","0.4","8.4","1.0","9.5","0.7","11.8","0.9","19.3","1.2","13.9","1.1","16.4","1.1","7.0","0.7","7.5","0.8","67863","1787","92088","3093","(X)","(X)","34.8","(X)","(X)","(X)","37211","821","1.2","0.4","1.3","0.4","5.4","0.8","7.9","0.9","10.5","1.0","19.3","1.3","15.9","1.3","19.8","1.4","8.8","0.9","9.9","1.2","82235","2882","107502","4204","(X)","(X)","(X)","(X)","(X)","(X)","33873","879","13.2","1.5","13.2","1.4","17.1","1.5","11.3","1.3","14.2","1.4","12.9","1.4","7.4","1.1","6.3","1.0","2.1","0.6","2.2","0.7","29960","1978","47475","2789","(X)","(X)","(X)","(X)","34.7","(X)",
"0500000US06009","Calaveras County, California","16942","552","3.7","1.2","3.2","1.0","9.5","1.7","9.7","1.9","12.3","2.0","20.0","2.4","14.3","2.2","14.1","2.1","7.7","1.4","5.6","1.1","63158","4128","84039","4340","39.8","(X)","(X)","(X)","(X)","(X)","11691","591","2.9","1.4","2.0","1.0","5.0","1.7","7.4","1.9","11.1","2.4","18.0","2.6","18.7","3.1","17.9","3.0","9.6","1.9","7.3","1.6","81002","2832","98835","6172","(X)","(X)","39.8","(X)","(X)","(X)","9119","538","1.0","0.8","1.1","0.8","3.0","1.2","6.2","1.9","8.9","2.1","18.5","2.9","20.9","3.6","19.8","3.4","11.8","2.4","8.7","1.9","87667","5178","N","N","(X)","(X)","(X)","(X)","(X)","(X)","5251","526","6.7","2.7","6.4","2.1","19.9","3.9","15.6","4.3","15.5","3.7","21.7","4.3","5.2","1.8","4.5","1.9","3.3","2.0","1.2","0.9","36502","5086","47724","3995","(X)","(X)","(X)","(X)","38.9","(X)",
"0500000US06011","Colusa County, California","7227","159","4.2","1.4","5.4","1.8","11.5","2.4","9.4","2.1","12.2","2.3","20.2","2.5","15.1","2.4","12.9","2.3","5.1","1.3","3.9","1.1","59401","4265","77196","5505","28.6","(X)","(X)","(X)","(X)","(X)","5327","231","2.8","1.3","3.0","1.3","8.7","2.3","7.5","2.0","13.1","2.6","21.6","3.2","18.0","3.3","14.8","2.9","6.0","1.7","4.4","1.4","66910","6377","86863","7473","(X)","(X)","29.0","(X)","(X)","(X)","4012","241","0.8","0.6","0.5","0.8","4.9","1.8","4.9","1.9","12.7","3.3","23.0","3.9","20.3","3.8","19.1","3.8","8.0","2.2","5.8","1.9","79577","5676","N","N","(X)","(X)","(X)","(X)","(X)","(X)","1900","197","9.9","4.6","13.8","5.8","22.4","5.3","11.9","4.0","9.4","3.4","18.5","4.2","5.6","2.9","4.2","3.1","2.3","1.9","2.0","1.5","30389","6829","44445","6230","(X)","(X)","(X)","(X)","25.4","(X)",
"0500000US06013","Contra Costa County, California","394769","1262","3.4","0.2","2.8","0.2","4.9","0.3","5.4","0.3","8.1","0.4","13.0","0.4","12.6","0.3","18.9","0.4","11.5","0.4","19.4","0.4","99716","1157","135742","1226","36.3","(X)","(X)","(X)","(X)","(X)","284806","1830","2.5","0.2","1.5","0.2","3.5","0.2","4.2","0.3","7.0","0.4","11.9","0.5","12.4","0.4","20.5","0.5","13.0","0.5","23.5","0.5","114535","1509","152942","1737","(X)","(X)","36.6","(X)","(X)","(X)","217370","1981","1.0","0.2","0.7","0.1","2.1","0.2","3.0","0.2","5.2","0.4","10.2","0.5","12.0","0.5","21.6","0.6","15.0","0.5","29.2","0.7","135343","1462","175223","2055","(X)","(X)","(X)","(X)","(X)","(X)","109963","1518","7.4","0.6","6.5","0.6","9.2","0.7","8.9","0.6","11.4","0.8","16.4","0.8","12.6","0.8","14.0","0.8","6.6","0.6","6.9","0.5","59777","1624","83125","2033","(X)","(X)","(X)","(X)","32.4","(X)",
"0500000US06015","Del Norte County, California","9945","282","7.6","1.9","7.4","1.7","12.9","2.5","13.0","2.4","11.9","2.2","18.8","2.9","10.5","1.9","12.4","2.0","2.1","0.9","3.4","1.0","45283","5017","63515","3767","39.7","(X)","(X)","(X)","(X)","(X)","6135","383","7.0","2.3","3.4","1.5","10.4","2.9","10.1","2.5","12.4","3.2","21.1","3.9","14.2","2.9","14.6","2.6","2.2","1.1","4.6","1.7","57189","3514","72940","5589","(X)","(X)","43.9","(X)","(X)","(X)","4295","368","5.6","3.1","1.9","1.5","6.3","2.3","7.2","2.7","10.7","3.4","22.3","5.1","17.5","3.7","19.0","3.5","3.1","1.6","6.4","2.4","70175","4775","N","N","(X)","(X)","(X)","(X)","(X)","(X)","3810","393","9.4","3.4","14.6","3.3","17.9","4.6","16.5","4.7","10.8","3.2","15.6","5.0","3.8","1.7","8.0","3.2","2.1","1.7","1.4","1.3","29725","4275","46481","5870","(X)","(X)","(X)","(X)","31.9","(X)",
"0500000US06017","El Dorado County, California","70974","770","3.9","0.5","3.5","0.5","6.8","0.8","6.4","0.7","9.7","0.8","14.8","0.9","13.0","0.9","18.9","0.9","10.0","0.7","13.0","0.8","83377","2342","110041","2657","36.4","(X)","(X)","(X)","(X)","(X)","49749","919","2.1","0.5","1.4","0.4","4.1","0.8","4.6","0.8","7.8","0.9","14.6","1.1","13.5","1.2","23.2","1.2","12.0","0.8","16.7","1.0","102777","3184","128708","3527","(X)","(X)","35.9","(X)","(X)","(X)","41616","929","1.1","0.4","1.0","0.4","3.0","0.7","3.7","0.7","6.8","0.9","14.0","1.2","13.2","1.2","24.8","1.4","13.5","1.0","19.0","1.2","111197","2742","138850","3961","(X)","(X)","(X)","(X)","(X)","(X)","21225","894","9.0","1.4","8.6","1.6","14.0","1.9","11.1","1.3","14.0","1.8","15.3","1.9","10.6","1.5","9.8","1.5","4.2","1.0","3.3","0.8","42025","2073","61968","3182","(X)","(X)","(X)","(X)","36.2","(X)",
